iter	Passed	Remaining
0	101	101419
1	102	51252
2	103	34488
3	104	26135
4	106	21150
5	107	17834
6	109	15464
7	110	13715
8	111	12315
9	113	11201
10	114	10279
11	115	9528
12	117	8901
13	118	8355
14	119	7875
15	121	7457
16	122	7084
17	123	6755
18	124	6446
19	126	6193
20	127	5951
21	129	5748
22	138	5870
23	139	5674
24	141	5515
25	142	5339
26	143	5179
27	145	5034
28	146	4895
29	147	4762
30	148	4637
31	149	4523
32	150	4416
33	152	4322
34	154	4250
35	155	4166
36	180	4688
37	181	4587
38	182	4490
39	185	4447
40	186	4371
41	189	4324
42	191	4255
43	194	4217
44	195	4145
45	196	4076
46	200	4071
47	202	4012
48	203	3947
49	211	4010
50	212	3947
51	216	3952
52	217	3895
53	219	3839
54	220	3789
55	222	3748
56	224	3712
57	225	3662
58	226	3616
59	228	3572
60	229	3530
61	230	3486
62	231	3444
63	232	3402
64	233	3359
65	234	3320
66	236	3288
67	245	3367
68	247	3334
69	248	3304
70	253	3311
71	254	3281
72	255	3248
73	257	3220
74	258	3190
75	260	3162
76	261	3132
77	262	3100
78	263	3070
79	264	3044
80	265	3016
81	267	2995
82	268	2962
83	269	2937
84	270	2913
85	272	2893
86	274	2876
87	275	2853
88	276	2831
89	277	2810
90	279	2787
91	279	2763
92	280	2739
93	281	2716
94	282	2692
95	283	2672
96	284	2652
97	286	2632
98	287	2612
99	287	2591
100	289	2575
101	290	2557
102	291	2540
103	293	2524
104	294	2507
105	295	2488
106	295	2469
107	296	2451
108	297	2435
109	299	2420
110	300	2404
111	301	2388
112	302	2372
113	303	2355
114	304	2339
115	304	2323
116	305	2306
117	306	2292
118	307	2278
119	308	2263
120	309	2248
121	310	2232
122	311	2218
123	311	2203
124	312	2189
125	314	2179
126	315	2166
127	316	2153
128	317	2142
129	318	2129
130	319	2118
131	320	2106
132	321	2096
133	322	2085
134	323	2073
135	324	2061
136	325	2049
137	326	2037
138	327	2025
139	327	2014
140	329	2005
141	329	1993
142	330	1983
143	331	1973
144	332	1963
145	334	1954
146	335	1944
147	336	1938
148	337	1929
149	338	1919
150	339	1909
151	340	1900
152	341	1891
153	342	1881
154	343	1874
155	345	1866
156	345	1857
157	346	1848
158	348	1840
159	349	1833
160	349	1823
161	351	1816
162	352	1808
163	353	1801
164	354	1792
165	355	1784
166	356	1777
167	357	1769
168	358	1761
169	360	1758
170	361	1751
171	362	1744
172	363	1736
173	364	1730
174	365	1723
175	366	1717
176	368	1712
177	369	1705
178	370	1698
179	371	1691
180	372	1685
181	373	1678
182	374	1673
183	375	1666
184	376	1659
185	377	1653
186	378	1645
187	379	1638
188	380	1631
189	381	1624
190	382	1620
191	383	1613
192	384	1606
193	385	1599
194	385	1593
195	386	1586
196	387	1579
197	388	1573
198	389	1567
199	390	1562
200	391	1556
201	392	1550
202	393	1544
203	394	1538
204	395	1532
205	396	1526
206	397	1522
207	398	1516
208	399	1510
209	400	1505
210	401	1499
211	402	1494
212	403	1489
213	404	1485
214	405	1480
215	406	1475
216	407	1471
217	408	1465
218	409	1460
219	410	1455
220	411	1452
221	413	1447
222	414	1442
223	415	1437
224	415	1432
225	416	1427
226	417	1422
227	418	1417
228	420	1414
229	421	1411
230	422	1406
231	423	1401
232	424	1396
233	424	1391
234	426	1387
235	427	1383
236	428	1379
237	429	1374
238	430	1370
239	431	1365
240	432	1360
241	432	1355
242	434	1353
243	435	1349
244	436	1345
245	437	1340
246	438	1336
247	439	1331
248	440	1327
249	441	1324
250	442	1320
251	443	1317
252	444	1313
253	445	1309
254	446	1305
255	447	1301
256	449	1298
257	450	1294
258	450	1290
259	451	1286
260	452	1282
261	453	1278
262	454	1274
263	456	1272
264	457	1268
265	458	1265
266	459	1261
267	460	1258
268	461	1254
269	462	1250
270	463	1248
271	464	1244
272	465	1240
273	466	1237
274	467	1233
275	468	1229
276	469	1226
277	471	1223
278	472	1220
279	473	1216
280	474	1213
281	475	1209
282	476	1206
283	477	1202
284	478	1199
285	479	1196
286	480	1193
287	481	1190
288	482	1187
289	483	1184
290	484	1181
291	485	1178
292	487	1175
293	487	1171
294	488	1168
295	489	1165
296	491	1163
297	492	1161
298	494	1159
299	495	1156
300	496	1153
301	498	1151
302	500	1150
303	501	1148
304	502	1146
305	504	1143
306	505	1140
307	506	1137
308	507	1135
309	509	1133
310	510	1131
311	511	1128
312	512	1125
313	513	1122
